id;name;description;price;category;enabled;quantity;updated_at;venue_id;image_url
20;Cold Brew;Cafe Frio;300;frios;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
21;Iced Latte;Leche. Add shot $30;350;frios;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
22;Iced Matcha;Leche;350;frios;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
23;Frapuccino;Cafe Batido;330;frios;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
24;Limonada Cold Brew;Cafe Frio + Limonada;300;frios;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
30;Cortado;Leche;200;whites;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
31;Flat White;Leche;230;whites;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
32;Cappuccino;Leche;250;whites;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
33;Latte;Leche. Add shot $30;280;whites;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
40;Alfajor Artesanal;Triple cacao o Nuez;250;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
41;Pepas Caseras;Membrillo o Batata;200;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
42;Cookies Caseras;Chocolate o Avena;200;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
43;Cuadrado Brownie;Doble chocolate;250;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
44;Cuadrado Carrot Cake;Zanahoria y nuez;250;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
45;Cuadrado Cheesecake;Queso y frutos rojos;250;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
46;Cuadrado Lemon Pie;Limon;250;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
47;Medialunas;Manteca x3;220;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
48;Medialunas con Jamon y Queso;Manteca x3;330;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
49;Torta del Dia;Consultar;350;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
50;Budines;Consultar;200;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
51;Granola Bowl;Yogur, granola, fruta;400;dulces;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
60;Avocado Toast;Palta, huevo, pan casero;520;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
61;Salmon Toast;Salmon, queso, pan casero;680;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
62;Tostones Especiales;Jamon crudo, queso, huevo;450;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
63;Huevos Revueltos;Con pan casero;420;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
64;Huevos Benedictinos;Salmon o Jamon;600;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
65;Sandwich Veggie;Verduras grilladas;500;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
66;Sandwich Pollo;Pollo, palta, tomate;550;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
67;Bagel Salmon;Salmon, queso crema;600;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
68;Bagel Jamon;Jamon, queso;450;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
69;Ensalada del Dia;Consultar;500;salados;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
70;Matcha Latte;Leche;350;otras;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
71;Chai Latte;Leche;300;otras;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
72;Te;Consultar;180;otras;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
73;Chocolate Caliente;Leche;280;otras;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
74;Submarino;Leche + Chocolate;300;otras;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
80;Jugo Natural Naranja;Exprimido;300;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
81;Jugo Natural Pomelo;Exprimido;300;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
82;Licuado Frutas;Consultar;350;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
83;Limonada;Menta o Jengibre;280;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
84;Agua Mineral;Con o sin gas;150;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
85;Gaseosa;Consultar;180;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
86;Cerveza;Consultar;350;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
87;Copa de Vino;Consultar;400;bebidas;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
12;Cafe filtrado;Filtrado 1 Taza;200;blacks;true;0;2025-12-07 19:33:21.187335+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
11;Americano;2 shots + agua;170;blacks;true;0;2025-12-07 19:58:15.559093+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
109;Alfajor de almendras;Sablé de almendras relleno de dulce de leche y crocante de almendras;4800;DULCES;true;0;2025-12-12 17:50:08.011655+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;https://ugjpnxlqchirpyrlkuwk.supabase.co/storage/v1/object/public/product-images/b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5/109-1765561805706.webp
10;Espresso Doble;2 shots;170;blacks;true;0;2025-12-07 19:58:49.722455+00;7b0f107b-6f09-4319-81b7-e9db1697f011;
90;Coca Cola 500 ml;Coca Cola original;4000;BEBIDAS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
91;Coca Cola Zero 500 ml;Coca Cola Zero sin azúcar;4000;BEBIDAS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
92;Scon de queso;Scon casero de queso;3900;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
93;Chipa (2);Chipas caseros;3400;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
95;Croissant con jamón y queso;Con jamón natural y queso tybo;5600;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
96;Fosforito con jamón y queso;Con jamón natural y queso tybo;5600;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
97;Medialunas con jamón y queso;Con jamón natural y queso tybo;5100;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
98;Medialuna de grasa;Medialuna tradicional de grasa;1700;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
99;Tostado de pan de masa madre;Opción integral/blanco con jamón natural y queso tybo;6500;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
100;Tostado de pan de chipa;Tostado en pan de chipa;5700;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
101;Avocado toast;Tostada de pan de masa madre con semillas, opción integral/blanco, con palta, huevo revuelto, queso untable y mix de semillas;8900;SALADOS;true;0;2025-12-07 23:40:16.004173+00;b3d0fe5b-6b42-4472-a8a4-37f62fdb01a5;
